Pays,Années,HALE_femmes,HALE_hommes,HALE_WMGap
Côte d'Ivoire,2010,50.84747627,49.40215076,1.4453255100000035
Côte d'Ivoire,2011,51.21168393,49.45503536,1.756648570000003
Côte d'Ivoire,2012,52.33645549,50.1266642,2.2097912899999983
Côte d'Ivoire,2013,53.17228141,50.65517123,2.517110179999996
Côte d'Ivoire,2014,53.76802938,51.36919898,2.3988304000000014
Côte d'Ivoire,2015,54.4910548,52.13334162,2.3577131799999975
Côte d'Ivoire,2016,55.07431435,52.72973965,2.3445747000000026
Côte d'Ivoire,2017,55.64891674,53.29205409,2.3568626499999965
Côte d'Ivoire,2018,56.18005281,53.87126931,2.308783499999997
Côte d'Ivoire,2019,56.64468725,54.41874137,2.2259458799999976
Côte d'Ivoire,2020,56.50795732,54.28123311,2.2267242100000004
Côte d'Ivoire,2021,56.39795644,54.5798049,1.8181515400000023
France,2000,69.70473877,66.20633447,3.4984043000000042
France,2001,69.71185378,66.31830992,3.393543859999994
France,2002,69.71652331,66.51178438,3.204738930000005
France,2003,69.60333696,66.58096418,3.0223727799999978
France,2004,70.17605105,67.23455222,2.9414988300000005
France,2005,70.16709032,67.2730075,2.894082819999994
France,2006,70.51730892,67.63943037,2.8778785500000055
France,2007,70.7324845,67.85361506,2.8788694400000026
France,2008,70.71387539,68.03438491,2.6794904799999983
France,2009,70.8411392,68.1835548,2.6575844000000046
France,2010,70.97593422,68.34286264,2.633071579999992
France,2011,71.20277366,68.64929393,2.5534797300000065
France,2012,71.15113542,68.78225035,2.3688850700000046
France,2013,71.30321652,69.01844495,2.2847715700000037
France,2014,71.5607481,69.40509366,2.155654439999992
France,2015,71.28966996,69.12206088,2.167609079999991
France,2016,71.40730391,69.34612462,2.0611792899999983
France,2017,71.40578134,69.54588268,1.859898659999999
France,2018,71.51484666,69.63062536,1.8842213000000072
France,2019,71.59532003,69.77737462,1.817945409999993
France,2020,70.95556979,69.16311752,1.7924522699999983
France,2021,70.98477826,69.14204212,1.8427361399999995
Allemagne,2000,68.55691122,66.20482729,2.3520839300000063
Allemagne,2001,68.71700508,66.53593701,2.181068070000009
Allemagne,2002,68.63623535,66.65145135,1.9847840000000048
Allemagne,2003,68.60394052,66.68256965,1.9213708699999898
Allemagne,2004,68.91194666,67.17878574,1.733160920000003
Allemagne,2005,68.99690471,67.37231602,1.624588689999996
Allemagne,2006,69.23194581,67.71377082,1.5181749900000057
Allemagne,2007,69.35098868,67.85316295,1.4978257300000024
Allemagne,2008,69.33350051,68.00966715,1.3238333599999947
Allemagne,2009,69.38844327,68.1170508,1.271392469999995
Allemagne,2010,69.48684462,68.28355449,1.2032901299999992
Allemagne,2011,69.62000293,68.54690115,1.0731017800000018
Allemagne,2012,69.66271039,68.7068977,0.9558126900000019
Allemagne,2013,69.45938517,68.45652946,1.0028557100000057
Allemagne,2014,69.76182475,68.78944342,0.9723813300000046
Allemagne,2015,69.50817284,68.56747372,0.940699120000005
Allemagne,2016,69.69170197,68.72564059,0.9660613799999993
Allemagne,2017,69.69475948,68.84352305,0.8512364300000002
Allemagne,2018,69.63010127,68.7647781,0.8653231699999964
Allemagne,2019,69.85817732,68.99588905,0.8622882699999934
Allemagne,2020,69.68835815,68.76247679,0.9258813600000053
Allemagne,2021,69.40857981,68.4348636,0.9737162100000063
Inde,2000,54.00054089,54.24475317,-0.24421227999999928
Inde,2001,54.47267959,54.56771683,-0.09503724000000346
Inde,2002,54.91205102,55.00270641,-0.090655390000002
Inde,2003,55.36222125,55.3144743,0.04774694999999696
Inde,2004,55.91309042,55.5891125,0.32397792000000436
Inde,2005,56.28125866,56.00466602,0.27659263999999695
Inde,2006,56.59716172,56.3359724,0.2611893199999997
Inde,2007,56.92158781,56.50574695,0.41584085999999587
Inde,2008,57.32395543,56.74744042,0.5765150100000014
Inde,2009,57.85807139,57.23882828,0.6192431099999993
Inde,2010,58.31033742,57.54591286,0.7644245600000019
Inde,2011,58.65777136,57.85252467,0.805246689999997
Inde,2012,58.86118971,58.29319195,0.5679977599999972
Inde,2013,59.10124233,58.60849267,0.4927496600000012
Inde,2014,59.48405832,58.96730638,0.516751940000006
Inde,2015,59.77947299,59.4162709,0.3632020900000015
Inde,2016,60.0683294,59.82897845,0.23935095000000217
Inde,2017,60.33212987,60.14326553,0.18886434000000207
Inde,2018,60.69479589,60.40144493,0.29335096000000505
Inde,2019,61.08155839,60.69634235,0.385216039999996
Inde,2020,60.70771691,60.05110599,0.6566109199999985
Inde,2021,58.34834394,57.97233906,0.37600487999999643
Indonésie,2000,59.81645096,59.0519223,0.7645286599999963
Indonésie,2001,60.04666867,59.28369662,0.7629720500000019
Indonésie,2002,60.3009734,59.46214261,0.8388307899999958
Indonésie,2003,60.54336132,59.62967053,0.913690790000004
Indonésie,2004,58.97027922,58.55394826,0.41633096000000336
Indonésie,2005,61.00797276,59.92558183,1.0823909300000025
Indonésie,2006,61.18082784,60.07864814,1.1021797000000007
Indonésie,2007,61.47448111,60.23454444,1.2399366699999987
Indonésie,2008,61.70686155,60.3953855,1.311476049999996
Indonésie,2009,61.92945371,60.5292702,1.400183509999998
Indonésie,2010,62.15616969,60.70094021,1.4552294799999999
Indonésie,2011,62.41739785,60.95100183,1.4663960199999977
Indonésie,2012,62.65909911,61.17566378,1.483435329999999
Indonésie,2013,62.88988964,61.39351147,1.4963781699999998
Indonésie,2014,63.11937027,61.6013382,1.5180320699999967
Indonésie,2015,63.33255012,61.79681338,1.5357367399999973
Indonésie,2016,63.53660497,61.9954902,1.54111477
Indonésie,2017,63.73132014,62.17256596,1.558754180000001
Indonésie,2018,63.88317821,62.3114276,1.5717506099999952
Indonésie,2019,64.09340974,62.47943333,1.6139764099999994
Indonésie,2020,62.97012859,60.94041799,2.0297106000000014
Indonésie,2021,61.47346438,59.88729044,1.586173940000002
Iran,2000,63.54689856,62.97235071,0.5745478500000019
Iran,2001,63.76845634,63.19079697,0.5776593699999992
Iran,2002,64.01346765,63.34112771,0.6723399399999934
Iran,2003,63.36344757,62.86913154,0.49431603000000024
Iran,2004,64.55862364,63.60489559,0.9537280499999952
Iran,2005,64.84059234,63.80171474,1.0388775999999993
Iran,2006,65.11649711,63.99441283,1.1220842799999957
Iran,2007,65.37712188,64.23930447,1.137817410000011
Iran,2008,65.60925308,64.49963016,1.1096229200000067
Iran,2009,65.7811075,64.77136827,1.009739230000008
Iran,2010,65.92847627,65.10860146,0.8198748100000017
Iran,2011,66.06605332,65.44482613,0.621227189999999
Iran,2012,66.16649792,65.69547565,0.47102226999999175
Iran,2013,66.194581,65.86114093,0.33344006999999465
Iran,2014,66.2415034,65.99876243,0.24274096999999983
Iran,2015,66.23640351,66.0205709,0.21583261000000675
