Années;Pays;Cancer_thyroïde;Cancer_Estomac;Cancer_Utérus;Cancer_Foie;Cancer_Sein;Cancer_Testicule;VIH/SIDA
2021;Chili;18.01082416990902;438.8108105190204;35.04803753284994;100.25426892829113;246.45827520307608;33.55051392199278;125.78711008032012
2000;Corée du Sud;16.56637731565498;845.0264835658922;20.563315504257663;711.0748891064814;120.46207326491032;2.4695042116578403;9.241379989291202
2001;Corée du Sud;16.941426824025427;791.1590594326802;19.44265448153617;713.9238644704993;120.94460979670568;2.3047377754041674;9.506236330711303
2002;Corée du Sud;17.89005033678032;761.564359012612;19.072947380497208;729.3838094643862;125.1637459164286;2.211400665763559;9.856616344509838
2003;Corée du Sud;18.251097834974857;733.4646442075995;18.757176630288978;734.3160587978764;129.6555152984552;2.152198971554734;10.335768002586343
2004;Corée du Sud;18.553516556309575;712.1345152729174;18.53472826901126;736.9483543695826;133.85231586402452;2.029004894799659;10.633686370975113
2005;Corée du Sud;18.69900523028572;686.1948326549435;18.551262683883607;727.3871059469755;137.57646469856778;1.8938520158071857;10.901721972349629
2006;Corée du Sud;18.7145445858724;659.9480776445755;18.518452918414635;713.6856140787892;139.79325018591211;1.7947002257724949;11.204858483208303
2007;Corée du Sud;18.86559182873982;643.1069711366401;18.88503965659215;706.7086555899357;144.38670318802264;1.7669183534024773;11.688512339101226
2008;Corée du Sud;18.70763280992298;627.794769919656;19.226274011588263;703.116489089113;149.43018676848592;1.7627926656051784;11.97934597156312
2009;Corée du Sud;18.585117082472713;610.1577491294978;19.6564126966036;697.174452802978;153.81917361362184;1.76873803600127;12.274840435224055
2010;Corée du Sud;18.78354324543822;599.8525733707426;20.2859804341643;693.9340183749553;157.82593991054242;1.727076896317656;12.617310700462308
2011;Corée du Sud;18.42779351422874;571.9264110157968;20.328673404201265;670.9222210174814;158.06825561363482;1.6774229680094048;12.534753186628322
2012;Corée du Sud;18.5891696164834;556.3114852004634;20.927379099692367;658.2741883891906;161.1020790119617;1.6350112934429222;12.114833454998823
2013;Corée du Sud;18.20915150724693;528.1758360986703;21.34252372898945;633.8884429798775;164.58567777862214;1.5855499117341136;11.655222443853036
2014;Corée du Sud;17.851060787201302;503.88127911187;21.57385082502785;611.0515112081086;165.91011883517393;1.552677135707266;11.04921681768166
2015;Corée du Sud;18.053112694489094;492.5020932831176;22.336901381667683;596.9949090592063;169.31891961442028;1.5201517861087055;10.465982511777073
2016;Corée du Sud;18.062724213577837;476.57106849769974;22.84424119429262;574.8182148693751;172.10947757394808;1.495961097292818;9.940529315752576
2017;Corée du Sud;18.16079186131137;465.893324007742;23.075920229243035;554.5526620233682;173.32681638542232;1.4775960221178177;9.501611259286818
2018;Corée du Sud;18.59533295481523;466.26080465397143;23.870335211626195;548.0761785986072;178.69092593640477;1.4771339799797654;9.174147487660134
2019;Corée du Sud;18.46495963841011;456.29453735025186;24.293974307905884;532.4813898938614;182.3007854823369;1.4629103276145723;8.762246973952793
2020;Corée du Sud;18.934324015248084;462.3210505617029;25.0230241201931;533.8597180903017;186.82501130616748;1.436241128995727;8.41799508895205
2021;Corée du Sud;18.952922082350963;459.4656260464629;25.01484769423383;532.445243711236;185.10924122695175;1.430947789291927;8.173815156347684
2000;Côte d’Ivoire;6.470222693177144;77.4011617856274;11.9975503966204;147.9316680994326;242.44886984600697;2.3285638975893823;20825.58524142832
